city,state,station,last_update,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Jodhpur,Rajasthan,"Digari Kalan, Jodhpur - RSPCB",2025-05-19 10:00:00,26.29581,73.082283,36.0,68.0,10.0,5.0,16.0,23.0,285.6521739130435,Poor
Jodhpur,Rajasthan,"Jhalamand, Jodhpur - RSPCB",2025-05-19 10:00:00,26.215415,73.070156,26.0,75.0,6.0,4.0,15.0,40.0,271.30434782608694,Poor
Jodhpur,Rajasthan,"Mandor, Jodhpur - RSPCB",2025-05-19 10:00:00,26.358805,73.047444,28.0,69.0,14.0,6.0,17.0,38.0,300.0,Poor
Jodhpur,Rajasthan,"Samrat Ashok Udhyan, Jodhpur - RSPCB",2025-05-19 10:00:00,26.253384,72.976571,34.0,56.0,4.0,2.0,14.0,36.0,256.95652173913044,Poor
Kalaburagi,Karnataka,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",2025-05-19 10:00:00,17.336318,76.847397,27.0,36.0,15.0,4.0,37.0,2.0,415.42713567839195,Severe
Kalyan,Maharashtra,"Khadakpada, Kalyan - MPCB",2025-05-19 10:00:00,19.25292,73.142019,45.0,106.0,5.0,4.0,6.0,16.0,149.873417721519,Moderately Polluted
Kalyan,Maharashtra,"Pimpleshwar Mandir, Kalyan - MPCB",2025-05-19 10:00:00,19.192056,72.9585188,22.0,45.0,19.0,25.0,49.0,3.0,475.1256281407035,Severe
Kanchipuram,TamilNadu,"Kilambi, Kanchipuram - TNPCB",2025-05-19 10:00:00,12.864618,79.659968,25.0,41.0,,12.0,22.0,32.0,329.70414201183434,Very Poor
Kanpur,Uttar_Pradesh,"FTI Kidwai Nagar, Kanpur - UPPCB",2025-05-19 10:00:00,26.428282,80.327067,71.0,86.0,17.0,45.0,27.0,25.0,358.9940828402367,Very Poor
Kanpur,Uttar_Pradesh,"NSI Kalyanpur, Kanpur - UPPCB",2025-05-19 10:00:00,26.509954,80.249612,54.0,89.0,16.0,18.0,32.0,17.0,388.28402366863907,Very Poor
Kanpur,Uttar_Pradesh,"Nehru Nagar, Kanpur - UPPCB",2025-05-19 10:00:00,26.4703136,80.3229863,82.0,73.0,67.0,12.0,90.0,22.0,500.0,Severe
Karauli,Rajasthan,"Satyawati Vihar, Karauli - RSPCB",2025-05-19 10:00:00,26.506177,77.025989,24.0,80.0,17.0,8.0,40.0,47.0,430.35175879396985,Severe
Katni,Madhya Pradesh,"Gole Bazar, Katni - MPPCB",2025-05-19 10:00:00,23.50016,80.23284,41.0,95.0,43.0,38.0,28.0,73.0,364.85207100591714,Very Poor
Keonjhar,Odisha,"Jagamohanpur, Keonjhar - OSPCB",2025-05-19 10:00:00,21.6439,85.599355,,59.0,,10.0,58.0,,500.0,Severe
Khanna,Punjab,"Kalal Majra, Khanna - PPCB",2025-05-19 10:00:00,30.736056,76.209694,115.0,130.0,28.0,7.0,18.0,20.0,306.2721893491124,Very Poor
Khurja,Uttar_Pradesh,"Kalindi Kunj, Khurja - UPPCB",2025-05-19 10:00:00,28.2348927,77.8683002,67.0,127.0,3.0,80.0,43.0,5.0,445.27638190954775,Severe
